causality,bugid,buggycolumn,rank
1,10,3,3
1,11,67,7
1,14,577,
1,14,578,
1,14,494,10
1,14,495,
1,14,1616,1
1,14,1617,
1,14,1689,11
1,14,1690,
1,15,336,
1,15,212,2
1,15,213,2
1,16,35,2
1,16,36,2
1,16,68,4
1,17,200,1
1,18,97,2
1,18,98,4
1,18,99,
1,18,100,
1,18,203,30
1,18,208,12
1,22,33,17
1,22,66,24
1,22,35,17
1,22,70,
1,22,71,
1,22,82,13
1,24,13,4
2,4,1268,75
2,6,11,2
2,8,19,2
2,10,3,3
2,11,67,7
2,14,577,3
2,14,578,
2,14,494,1
2,14,495,
2,14,1616,12
2,14,1617,
2,14,1689,7
2,14,1690,
2,15,336,4
2,15,212,6
2,15,213,6
2,16,35,2
2,16,36,2
2,16,68,3
2,17,200,1
2,18,97,2
2,18,98,2
2,18,99,91
2,18,100,91
2,18,203,10
2,18,208,15
2,22,33,
2,22,66,42
2,22,35,
2,22,70,12
2,22,71,12
2,22,82,19
2,24,13,4
2,26,242,11
2,26,243,11
3,6,11,2
3,8,19,2
3,10,3,3
3,11,67,9
3,14,577,12
3,14,578,
3,14,494,
3,14,495,
3,14,1616,
3,14,1617,
3,14,1689,9
3,14,1690,
3,15,336,3
3,15,212,
3,15,213,
3,16,35,2
3,16,36,2
3,16,68,13
3,17,200,2
3,18,97,7
3,18,98,7
3,18,99,
3,18,100,
3,18,203,12
3,18,208,8
3,22,33,
3,22,66,10
3,22,35,
3,22,70,44
3,22,71,44
3,22,82,15
3,24,13,4
4,10,3,3
4,14,577,2
4,14,578,
4,14,494,24
4,14,495,
4,14,1616,41
4,14,1617,
4,14,1689,
4,14,1690,
4,15,336,35
4,15,212,10
4,15,213,10
4,17,200,1
4,18,97,4
4,18,98,4
4,18,99,
4,18,100,
4,18,203,11
4,18,208,
4,22,33,
4,22,66,19
4,22,35,
4,22,70,3
4,22,71,2
4,22,82,13
4,24,13,4
5,10,3,3
5,11,67,7
5,14,577,136
5,14,578,
5,14,494,
5,14,495,
5,14,1616,25
5,14,1617,
5,14,1689,
5,14,1690,
5,15,336,3
5,15,212,27
5,15,213,27
5,16,35,3
5,16,36,3
5,16,68,1
5,17,200,1
5,18,97,6
5,18,98,6
5,18,99,
5,18,100,
5,18,203,10
5,18,208,1
5,22,33,16
5,22,66,27
5,22,35,16
5,22,70,
5,22,71,
5,22,82,38
5,24,13,4
