causality,bugid,buggycolumn,rank
1,3,200,57
1,3,198,63
1,4,40,42
1,4,41,42
1,4,42,42
1,4,43,42
1,4,18,48
1,4,19,
1,5,63,2
1,9,15,12
1,11,35,27
1,14,3,3
1,14,4,
1,14,5,
1,14,47,
1,14,48,
1,22,48,30
1,22,79,15
1,24,105,219
1,24,82,57
1,32,31,4
1,36,160,
1,36,161,
1,36,150,12
1,36,151,12
1,37,160,22
1,37,162,8
1,37,163,8
1,37,164,8
1,37,165,8
1,37,154,18
1,37,156,16
1,37,157,16
1,37,158,16
1,37,159,16
1,40,64,16
1,40,66,16
1,42,126,20
1,42,127,10
1,45,1,10
1,45,2,10
1,45,3,10
1,45,4,10
1,46,57,6
1,46,42,4
1,49,129,
1,49,130,
1,49,136,
1,49,137,
1,49,144,64
1,49,115,190
1,49,122,
1,49,123,
1,51,67,
1,51,43,38
1,53,25,6
1,53,26,6
1,55,98,4
1,56,33,28
1,56,34,28
1,56,35,14
1,56,36,14
1,56,37,14
1,56,38,14
1,59,1548,68
1,60,20,
1,60,21,
1,60,22,
1,60,23,
1,60,24,
1,60,25,
1,61,7,2
1,64,65,
1,64,131,330
1,64,132,330
1,64,68,60
1,64,38,182
1,64,67,58
1,64,133,330
1,64,137,186
1,64,42,58
1,64,138,186
1,64,78,330
1,64,79,330
1,64,91,330
1,64,126,
1,66,32,
1,66,96,
1,66,2,14
1,66,98,
1,66,4,14
1,66,5,14
1,66,100,
1,66,71,
1,66,8,
1,66,9,
1,66,72,
1,66,11,
1,66,26,
1,66,27,
1,66,31,
1,67,10,2
1,67,11,
1,70,7,2
1,71,83,
1,71,172,38
1,71,173,2
1,71,84,
1,75,67,
1,75,69,4
1,83,91,22
1,83,69,38
1,83,95,10
1,86,11,6
1,86,12,6
1,86,13,2
1,86,14,
1,87,68,14
1,87,69,
1,89,24,
1,89,25,
1,89,26,
1,89,23,4
1,92,32,38
1,92,33,70
1,92,40,14
1,92,42,12
1,92,43,12
1,92,29,54
1,92,30,50
1,92,31,
1,95,19,26
1,95,20,26
1,97,28,14
1,97,29,16
1,97,30,18
1,97,31,144
1,98,314,32
1,98,755,12
1,98,255,
1,101,86,24
1,106,34,22
1,106,52,
1,106,37,12
1,106,47,
2,1,259,36
2,1,260,2
2,1,69,64
2,1,70,4
2,3,200,48
2,3,198,48
2,5,63,1
2,11,35,18
2,14,3,18
2,14,4,18
2,14,5,18
2,14,47,6
2,14,48,
2,22,48,10
2,22,79,20
2,23,80,8
2,23,105,92
2,23,82,3
2,23,79,8
2,24,105,42
2,24,82,
2,27,146,61
2,29,107,
2,29,108,
2,29,109,
2,29,110,
2,29,114,7
2,29,115,7
2,29,116,3
2,29,117,3
2,29,118,7
2,29,122,
2,29,125,
2,32,31,2
2,37,160,10
2,37,162,4
2,37,163,4
2,37,164,4
2,37,165,4
2,37,154,9
2,37,156,8
2,37,157,8
2,37,158,8
2,37,159,8
2,40,64,8
2,40,66,18
2,45,1,5
2,45,2,5
2,45,3,5
2,45,4,5
2,46,57,8
2,46,42,2
2,49,129,
2,49,130,
2,49,136,17
2,49,137,17
2,49,144,7
2,49,115,
2,49,122,
2,49,123,
2,53,25,13
2,53,26,13
2,55,98,2
2,59,1548,20
2,61,7,1
2,65,45,62
