Causality,BugID,Bug_Column,Rank#1,Rank#2
1,2,1,4.0,4.0
1,2,3,4.0,4.0
2,2,1,4.0,4.0
2,2,3,4.0,4.0
3,2,1,4.0,4.0
3,2,3,4.0,4.0
4,2,1,4.0,4.0
4,2,3,4.0,4.0
2,17,2,0.0,0.0
2,17,37,23.0,23.0
2,17,22,13.0,13.0
2,29,7,8.0,8.0
3,29,7,5.0,5.0
4,29,7,8.0,8.0
5,29,7,5.0,5.0
1,35,32,4.0,0.0
1,35,34,4.0,0.0
1,35,23,0.0,13.0
2,35,32,7.0,0.0
2,35,34,14.0,14.0
2,35,23,0.0,5.0
3,35,32,0.0,14.0
3,35,34,7.0,2.0
3,35,23,4.0,0.0
4,35,32,0.0,9.0
4,35,34,21.0,21.0
4,35,23,5.0,0.0
5,35,32,11.0,22.0
5,35,34,0.0,18.0
5,35,23,8.0,0.0
1,37,9,0.0,0.0
1,37,7,1.0,1.0
2,37,9,0.0,0.0
2,37,7,1.0,1.0
3,37,9,0.0,0.0
3,37,7,1.0,1.0
4,37,9,0.0,0.0
4,37,7,1.0,1.0
5,37,9,0.0,0.0
5,37,7,1.0,1.0
