Causality,BugID,Bug_Column,Rank#1,Rank#2
1,1,84,74,74
1,1,85,68,68
1,1,88,63,63
1,1,29,294,294
1,1,30,294,294
3,1,84,87,87
3,1,85,78,78
3,1,88,70,70
3,1,29,13,13
3,1,30,1,1
4,1,84,13,13
4,1,85,7,7
4,1,88,5,5
4,1,29,2,2
4,1,30,1,1
5,1,84,14,14
5,1,85,6,6
5,1,88,3,3
5,1,29,294,294
5,1,30,294,294
1,2,29,2,2
1,2,84,290,290
1,2,154,2,2
1,2,155,290,290
1,2,156,290,290
1,2,157,290,290
2,2,29,1,1
2,2,84,290,290
2,2,154,290,290
2,2,155,290,290
2,2,156,290,290
2,2,157,290,290
3,2,29,1,1
3,2,84,290,290
3,2,154,290,290
3,2,155,290,290
3,2,156,290,290
3,2,157,290,290
1,4,123,13,13
3,4,123,24,24
4,4,123,8,8
1,5,277,4,4
1,5,278,4,4
1,5,279,4,4
1,5,280,4,4
1,5,281,36,36
1,5,282,8,8
2,5,277,9,9
2,5,278,9,9
2,5,279,9,9
2,5,280,26,26
2,5,281,36,36
2,5,282,24,24
3,5,277,4,4
3,5,278,4,4
3,5,279,4,4
3,5,280,4,4
3,5,281,24,24
3,5,282,24,24
4,5,277,4,4
4,5,278,4,4
4,5,279,4,4
4,5,280,4,4
4,5,281,27,27
4,5,282,25,25
5,5,277,4,4
5,5,278,4,4
5,5,279,4,4
5,5,280,4,4
5,5,281,283,283
5,5,282,283,283
1,6,320,360,360
1,6,321,360,360
1,6,330,360,360
1,6,331,360,360
1,6,24,135,135
1,6,25,135,135
1,6,26,135,135
2,6,320,360,360
2,6,321,360,360
2,6,330,360,360
2,6,331,360,360
2,6,24,145,145
2,6,25,145,145
2,6,26,145,145
3,6,320,360,360
3,6,321,360,360
3,6,330,360,360
3,6,331,360,360
3,6,24,15,15
3,6,25,145,145
3,6,26,145,145
4,6,320,360,360
4,6,321,360,360
4,6,330,360,360
4,6,331,360,360
4,6,24,5,5
4,6,25,135,135
4,6,26,135,135
5,6,320,360,360
5,6,321,360,360
5,6,330,360,360
5,6,331,360,360
5,6,24,5,5
5,6,25,135,135
5,6,26,135,135
1,11,8,7,7
1,11,6,7,7
1,11,7,7,7
2,11,8,10,10
2,11,6,10,10
2,11,7,10,10
4,11,8,6,6
4,11,6,6,6
4,11,7,6,6
1,12,385,632,632
1,12,386,632,632
1,12,388,632,632
1,12,87,632,632
1,12,88,632,632
1,12,90,50,50
1,12,59,632,632
1,12,60,18,18
1,12,62,13,13
2,12,385,8,8
2,12,386,632,632
2,12,388,632,632
2,12,87,632,632
2,12,88,632,632
2,12,90,632,632
2,12,59,632,632
2,12,60,632,632
2,12,62,632,632
3,12,385,13,13
3,12,386,22,22
3,12,388,21,21
3,12,87,632,632
3,12,88,632,632
3,12,90,632,632
3,12,59,632,632
3,12,60,632,632
3,12,62,632,632
4,12,385,632,632
4,12,386,632,632
4,12,388,632,632
4,12,87,632,632
4,12,88,632,632
4,12,90,50,50
4,12,59,7,7
4,12,60,632,632
4,12,62,632,632
5,12,385,632,632
5,12,386,52,52
5,12,388,50,50
5,12,87,632,632
5,12,88,632,632
5,12,90,632,632
5,12,59,632,632
5,12,60,632,632
5,12,62,632,632
1,14,61,4,4
2,14,61,4,4
3,15,23,1,1
2,17,320,92,5
2,17,321,92,5
2,17,316,3,7
2,17,317,3,7
2,17,318,92,5
2,17,319,338,338
3,17,320,338,338
3,17,321,338,338
3,17,316,3,3
3,17,317,3,3
3,17,318,338,338
3,17,319,338,338
4,17,320,338,338
4,17,321,338,338
4,17,316,3,3
4,17,317,3,3
4,17,318,338,338
4,17,319,338,338
5,23,168,44,44
5,23,169,44,44
5,23,170,44,44
5,23,171,44,44
5,23,172,44,44
5,23,173,44,44
5,23,174,44,44
5,23,175,44,44
5,23,176,44,44
5,23,177,44,44
5,23,178,44,44
5,23,179,44,44
5,23,180,44,44
5,23,181,44,44
5,23,182,44,44
5,23,183,44,44
5,23,184,44,44
5,23,185,44,44
5,23,186,44,44
5,23,187,44,44
5,23,188,44,44
5,23,189,44,44
5,23,190,44,44
5,23,191,44,44
5,23,192,44,44
5,23,193,44,44
5,23,194,44,44
5,23,195,44,44
5,23,196,44,44
5,23,197,44,44
5,23,198,44,44
5,23,199,44,44
5,23,200,44,44
5,23,201,44,44
3,24,71,47,47
5,24,71,40,40
