causality,bugid,buggycolumn,rank
1,1,84,148
1,1,85,136
1,1,88,126
1,1,29,
1,1,30,
1,2,29,2
1,2,84,
1,2,154,8
1,2,155,
1,2,156,
1,2,157,
1,4,123,26
1,5,277,8
1,5,278,8
1,5,279,8
1,5,280,8
1,5,281,
1,5,282,
1,6,320,
1,6,321,
1,6,330,
1,6,331,
1,6,24,135
1,6,25,135
1,6,26,135
1,11,8,8
1,11,6,8
1,11,7,8
1,12,385,
1,12,386,
1,12,388,
1,12,87,
1,12,88,
1,12,90,50
1,12,59,
1,12,60,18
1,12,62,13
1,14,61,8
2,2,29,2
2,2,84,
2,2,154,
2,2,155,
2,2,156,
2,2,157,
2,5,277,18
2,5,278,18
2,5,279,18
2,5,280,70
2,5,281,66
2,5,282,48
2,6,320,
2,6,321,
2,6,330,
2,6,331,
2,6,24,145
2,6,25,145
2,6,26,145
2,11,8,8
2,11,6,8
2,11,7,8
2,12,385,8
2,12,386,
2,12,388,
2,12,87,
2,12,88,
2,12,90,
2,12,59,
2,12,60,
2,12,62,
2,14,61,8
2,17,320,91
2,17,321,91
2,17,316,2
2,17,317,2
2,17,318,91
2,17,319,
3,1,84,87
3,1,85,78
3,1,88,70
3,1,29,13
3,1,30,1
3,2,29,1
3,2,84,
3,2,154,
3,2,155,
3,2,156,
3,2,157,
3,4,123,24
3,5,277,4
3,5,278,4
3,5,279,4
3,5,280,4
3,5,281,
3,5,282,
3,6,320,
3,6,321,
3,6,330,
3,6,331,
3,6,24,15
3,6,25,145
3,6,26,145
3,12,385,13
3,12,386,22
3,12,388,21
3,12,87,
3,12,88,
3,12,90,
3,12,59,
3,12,60,
3,12,62,
3,15,23,1
3,17,320,
3,17,321,
3,17,316,3
3,17,317,3
3,17,318,
3,17,319,
3,24,71,47
4,1,84,13
4,1,85,7
4,1,88,5
4,1,29,2
4,1,30,1
4,4,123,8
4,5,277,4
4,5,278,4
4,5,279,4
4,5,280,4
4,5,281,40
4,5,282,39
4,6,320,
4,6,321,
4,6,330,
4,6,331,
4,6,24,5
4,6,25,135
4,6,26,135
4,11,8,4
4,11,6,4
4,11,7,4
4,12,385,
4,12,386,
4,12,388,
4,12,87,
4,12,88,
4,12,90,50
4,12,59,7
4,12,60,
4,12,62,
4,17,320,
4,17,321,
4,17,316,3
4,17,317,3
4,17,318,
4,17,319,
5,1,84,14
5,1,85,6
5,1,88,3
5,1,29,
5,1,30,
5,5,277,4
5,5,278,4
5,5,279,4
5,5,280,4
5,5,281,
5,5,282,
5,6,320,
5,6,321,
5,6,330,
5,6,331,
5,6,24,5
5,6,25,135
5,6,26,135
5,12,385,
5,12,386,52
5,12,388,50
5,12,87,
5,12,88,
5,12,90,
5,12,59,
5,12,60,
5,12,62,
5,23,168,44
5,23,169,44
5,23,170,44
5,23,171,44
5,23,172,44
5,23,173,44
5,23,174,44
5,23,175,44
5,23,176,44
5,23,177,44
5,23,178,44
5,23,179,44
5,23,180,44
5,23,181,44
5,23,182,44
5,23,183,44
5,23,184,44
5,23,185,44
5,23,186,44
5,23,187,44
5,23,188,44
5,23,189,44
5,23,190,44
5,23,191,44
5,23,192,44
5,23,193,44
5,23,194,44
5,23,195,44
5,23,196,44
5,23,197,44
5,23,198,44
5,23,199,44
5,23,200,44
5,23,201,44
5,24,71,40
