Causality,BugID,Bug_Column,Rank#1,Rank#2
1,1,84,73.0,73.0
1,1,85,64.0,64.0
1,1,88,62.0,62.0
1,1,29,99.0,99.0
1,1,30,115.0,115.0
3,1,84,86.0,86.0
3,1,85,71.0,71.0
3,1,88,66.0,66.0
3,1,29,11.0,11.0
3,1,30,0.0,0.0
4,1,84,12.0,12.0
4,1,85,6.0,6.0
4,1,88,4.0,4.0
4,1,29,1.0,1.0
4,1,30,0.0,0.0
5,1,84,12.0,12.0
5,1,85,5.0,5.0
5,1,88,2.0,2.0
5,1,29,37.0,37.0
5,1,30,37.0,37.0
1,2,29,0.0,0.0
1,2,84,44.0,44.0
1,2,154,0.0,0.0
1,2,155,43.0,43.0
1,2,156,43.0,43.0
1,2,157,66.0,66.0
2,2,29,0.0,0.0
2,2,84,17.0,17.0
2,2,154,17.0,17.0
2,2,155,17.0,17.0
2,2,156,17.0,17.0
2,2,157,17.0,17.0
3,2,29,0.0,0.0
3,2,84,17.0,17.0
3,2,154,18.0,18.0
3,2,155,18.0,18.0
3,2,156,18.0,18.0
3,2,157,45.0,45.0
1,4,123,7.0,7.0
3,4,123,23.0,23.0
4,4,123,7.0,7.0
1,5,277,3.0,3.0
1,5,278,3.0,3.0
1,5,279,3.0,3.0
1,5,280,3.0,3.0
1,5,281,32.0,32.0
1,5,282,6.0,6.0
2,5,277,3.0,3.0
2,5,278,3.0,3.0
2,5,279,3.0,3.0
2,5,280,24.0,24.0
2,5,281,27.0,27.0
2,5,282,23.0,23.0
3,5,277,3.0,3.0
3,5,278,3.0,3.0
3,5,279,3.0,3.0
3,5,280,3.0,3.0
3,5,281,20.0,20.0
3,5,282,20.0,20.0
4,5,277,3.0,3.0
4,5,278,3.0,3.0
4,5,279,3.0,3.0
4,5,280,3.0,3.0
4,5,281,25.0,25.0
4,5,282,19.0,19.0
5,5,277,3.0,3.0
5,5,278,3.0,3.0
5,5,279,3.0,3.0
5,5,280,3.0,3.0
5,5,281,48.0,48.0
5,5,282,48.0,48.0
1,6,320,277.0,277.0
1,6,321,277.0,277.0
1,6,330,277.0,277.0
1,6,331,277.0,277.0
1,6,24,134.0,134.0
1,6,25,134.0,134.0
1,6,26,134.0,134.0
2,6,320,287.0,287.0
2,6,321,287.0,287.0
2,6,330,287.0,287.0
2,6,331,287.0,287.0
2,6,24,144.0,144.0
2,6,25,144.0,144.0
2,6,26,144.0,144.0
3,6,320,275.0,275.0
3,6,321,275.0,275.0
3,6,330,275.0,275.0
3,6,331,275.0,275.0
3,6,24,14.0,14.0
3,6,25,144.0,144.0
3,6,26,144.0,144.0
4,6,320,277.0,277.0
4,6,321,277.0,277.0
4,6,330,277.0,277.0
4,6,331,277.0,277.0
4,6,24,4.0,4.0
4,6,25,134.0,134.0
4,6,26,134.0,134.0
5,6,320,280.0,280.0
5,6,321,280.0,280.0
5,6,330,280.0,280.0
5,6,331,280.0,280.0
5,6,24,4.0,4.0
5,6,25,134.0,134.0
5,6,26,134.0,134.0
2,11,8,9.0,9.0
2,11,6,9.0,9.0
2,11,7,9.0,9.0
4,11,8,4.0,4.0
4,11,6,4.0,4.0
4,11,7,4.0,4.0
1,12,385,61.0,61.0
1,12,386,60.0,60.0
1,12,388,60.0,60.0
1,12,87,61.0,61.0
1,12,88,60.0,60.0
1,12,90,43.0,43.0
1,12,59,62.0,62.0
1,12,60,13.0,13.0
1,12,62,10.0,10.0
2,12,385,5.0,5.0
2,12,386,62.0,62.0
2,12,388,62.0,62.0
2,12,87,63.0,63.0
2,12,88,125.0,125.0
2,12,90,62.0,62.0
2,12,59,63.0,63.0
2,12,60,62.0,62.0
2,12,62,62.0,62.0
3,12,385,8.0,8.0
3,12,386,21.0,21.0
3,12,388,19.0,19.0
3,12,87,60.0,60.0
3,12,88,60.0,60.0
3,12,90,61.0,61.0
3,12,59,61.0,61.0
3,12,60,60.0,60.0
3,12,62,60.0,60.0
4,12,385,62.0,62.0
4,12,386,61.0,61.0
4,12,388,61.0,61.0
4,12,87,62.0,62.0
4,12,88,139.0,139.0
4,12,90,43.0,43.0
4,12,59,3.0,3.0
4,12,60,61.0,61.0
4,12,62,61.0,61.0
5,12,385,111.0,111.0
5,12,386,50.0,50.0
5,12,388,40.0,40.0
5,12,87,111.0,111.0
5,12,88,110.0,110.0
5,12,90,110.0,110.0
5,12,59,117.0,117.0
5,12,60,117.0,117.0
5,12,62,117.0,117.0
1,14,61,3.0,3.0
2,14,61,3.0,3.0
3,15,23,0.0,0.0
2,17,320,90.0,5.0
2,17,321,90.0,5.0
2,17,316,2.0,2.0
2,17,317,2.0,2.0
2,17,318,90.0,5.0
2,17,319,159.0,159.0
3,17,320,78.0,78.0
3,17,321,78.0,78.0
3,17,316,2.0,2.0
3,17,317,2.0,2.0
3,17,318,78.0,78.0
3,17,319,124.0,124.0
4,17,320,70.0,70.0
4,17,321,70.0,70.0
4,17,316,2.0,2.0
4,17,317,2.0,2.0
4,17,318,70.0,70.0
4,17,319,119.0,119.0
5,23,168,43.0,43.0
5,23,169,43.0,43.0
5,23,170,43.0,43.0
5,23,171,43.0,43.0
5,23,172,43.0,43.0
5,23,173,43.0,43.0
5,23,174,43.0,43.0
5,23,175,43.0,43.0
5,23,176,43.0,43.0
5,23,177,43.0,43.0
5,23,178,43.0,43.0
5,23,179,43.0,43.0
5,23,180,43.0,43.0
5,23,181,43.0,43.0
5,23,182,43.0,43.0
5,23,183,43.0,43.0
5,23,184,43.0,43.0
5,23,185,43.0,43.0
5,23,186,43.0,43.0
5,23,187,43.0,43.0
5,23,188,43.0,43.0
5,23,189,43.0,43.0
5,23,190,43.0,43.0
5,23,191,43.0,43.0
5,23,192,43.0,43.0
5,23,193,43.0,43.0
5,23,194,43.0,43.0
5,23,195,43.0,43.0
5,23,196,43.0,43.0
5,23,197,43.0,43.0
5,23,198,43.0,43.0
5,23,199,43.0,43.0
5,23,200,43.0,43.0
5,23,201,43.0,43.0
3,24,71,38.0,38.0
5,24,71,39.0,39.0
